Category: All categories

Month,cambriolage: (France)
2004-01,12
2004-02,13
2004-03,11
2004-04,0
2004-05,13
2004-06,11
2004-07,7
2004-08,14
2004-09,18
2004-10,24
2004-11,24
2004-12,24
2005-01,16
2005-02,24
2005-03,14
2005-04,17
2005-05,24
2005-06,18
2005-07,26
2005-08,14
2005-09,16
2005-10,15
2005-11,14
2005-12,15
2006-01,20
2006-02,13
2006-03,7
2006-04,13
2006-05,13
2006-06,16
2006-07,11
2006-08,26
2006-09,14
2006-10,14
2006-11,21
2006-12,45
2007-01,15
2007-02,19
2007-03,14
2007-04,16
2007-05,15
2007-06,15
2007-07,14
2007-08,15
2007-09,16
2007-10,16
2007-11,19
2007-12,10
2008-01,14
2008-02,15
2008-03,14
2008-04,14
2008-05,11
2008-06,19
2008-07,22
2008-08,20
2008-09,15
2008-10,17
2008-11,21
2008-12,21
2009-01,24
2009-02,22
2009-03,22
2009-04,21
2009-05,21
2009-06,26
2009-07,30
2009-08,30
2009-09,23
2009-10,25
2009-11,18
2009-12,26
2010-01,27
2010-02,27
2010-03,26
2010-04,23
2010-05,28
2010-06,25
2010-07,24
2010-08,31
2010-09,26
2010-10,32
2010-11,31
2010-12,28
2011-01,48
2011-02,38
2011-03,34
2011-04,30
2011-05,26
2011-06,27
2011-07,34
2011-08,37
2011-09,29
2011-10,28
2011-11,43
2011-12,42
2012-01,42
2012-02,35
2012-03,40
2012-04,35
2012-05,37
2012-06,36
2012-07,38
2012-08,43
2012-09,35
2012-10,36
2012-11,45
2012-12,47
2013-01,50
2013-02,55
2013-03,49
2013-04,47
2013-05,38
2013-06,38
2013-07,42
2013-08,49
2013-09,44
2013-10,52
2013-11,53
2013-12,64
2014-01,59
2014-02,56
2014-03,52
2014-04,55
2014-05,46
2014-06,43
2014-07,48
2014-08,51
2014-09,50
2014-10,49
2014-11,55
2014-12,58
2015-01,46
2015-02,46
2015-03,43
2015-04,46
2015-05,47
2015-06,46
2015-07,51
2015-08,54
2015-09,42
2015-10,43
2015-11,46
2015-12,51
2016-01,51
2016-02,48
2016-03,48
2016-04,49
2016-05,48
2016-06,49
2016-07,45
2016-08,53
2016-09,47
2016-10,52
2016-11,60
2016-12,70
2017-01,61
2017-02,50
2017-03,57
2017-04,49
2017-05,58
2017-06,45
2017-07,48
2017-08,55
2017-09,50
2017-10,65
2017-11,68
2017-12,61
2018-01,69
2018-02,60
2018-03,59
2018-04,49
2018-05,48
2018-06,43
2018-07,49
2018-08,62
2018-09,52
2018-10,60
2018-11,82
2018-12,73
2019-01,68
2019-02,70
2019-03,57
2019-04,57
2019-05,54
2019-06,56
2019-07,65
2019-08,66
2019-09,53
2019-10,54
2019-11,62
2019-12,68
2020-01,75
2020-02,63
2020-03,46
2020-04,40
2020-05,45
2020-06,50
2020-07,58
2020-08,61
2020-09,54
2020-10,52
2020-11,46
2020-12,55
2021-01,49
2021-02,46
2021-03,100
2021-04,61
2021-05,44
2021-06,41
2021-07,61
2021-08,58
2021-09,50
2021-10,49
2021-11,54
2021-12,51
2022-01,50
2022-02,45
2022-03,50
2022-04,46
2022-05,48
2022-06,47
2022-07,52
2022-08,69
2022-09,53
2022-10,51
2022-11,52
2022-12,56
2023-01,57
2023-02,57
2023-03,50
2023-04,49
2023-05,62
2023-06,59
2023-07,63
2023-08,73
2023-09,69
2023-10,56
