Time,Cambriolage
2023-10-16T19,33
2023-10-16T20,26
2023-10-16T21,33
2023-10-16T22,44
2023-10-16T23,50
2023-10-17T00,28
2023-10-17T01,39
2023-10-17T02,0
2023-10-17T03,65
2023-10-17T04,0
2023-10-17T05,59
2023-10-17T06,28
2023-10-17T07,30
2023-10-17T08,21
2023-10-17T09,32
2023-10-17T10,21
2023-10-17T11,26
2023-10-17T12,29
2023-10-17T13,38
2023-10-17T14,20
2023-10-17T15,30
2023-10-17T16,37
2023-10-17T17,30
2023-10-17T18,21
2023-10-17T19,40
2023-10-17T20,35
2023-10-17T21,39
2023-10-17T22,42
2023-10-17T23,40
2023-10-18T00,30
2023-10-18T01,25
2023-10-18T02,0
2023-10-18T03,36
2023-10-18T04,65
2023-10-18T05,22
2023-10-18T06,15
2023-10-18T07,31
2023-10-18T08,43
2023-10-18T09,29
2023-10-18T10,30
2023-10-18T11,25
2023-10-18T12,35
2023-10-18T13,28
2023-10-18T14,20
2023-10-18T15,31
2023-10-18T16,25
2023-10-18T17,31
2023-10-18T18,20
2023-10-18T19,24
2023-10-18T20,34
2023-10-18T21,45
2023-10-18T22,57
2023-10-18T23,38
2023-10-19T00,43
2023-10-19T01,56
2023-10-19T02,100
2023-10-19T03,46
2023-10-19T04,56
2023-10-19T05,53
2023-10-19T06,57
2023-10-19T07,23
2023-10-19T08,39
2023-10-19T09,33
2023-10-19T10,32
2023-10-19T11,37
2023-10-19T12,41
2023-10-19T13,38
2023-10-19T14,25
2023-10-19T15,22
2023-10-19T16,23
2023-10-19T17,27
2023-10-19T18,35
2023-10-19T19,37
2023-10-19T20,40
2023-10-19T21,40
2023-10-19T22,60
2023-10-19T23,51
2023-10-20T00,64
2023-10-20T01,31
2023-10-20T02,49
2023-10-20T03,0
2023-10-20T04,48
2023-10-20T05,52
2023-10-20T06,37
2023-10-20T07,36
2023-10-20T08,24
2023-10-20T09,23
2023-10-20T10,20
2023-10-20T11,27
2023-10-20T12,38
2023-10-20T13,33
2023-10-20T14,29
2023-10-20T15,26
2023-10-20T16,19
2023-10-20T17,36
2023-10-20T18,30
2023-10-20T19,35
2023-10-20T20,40
2023-10-20T21,34
2023-10-20T22,43
2023-10-20T23,47
2023-10-21T00,51
2023-10-21T01,80
2023-10-21T02,26
2023-10-21T03,86
2023-10-21T04,49
2023-10-21T05,34
2023-10-21T06,58
2023-10-21T07,28
2023-10-21T08,31
2023-10-21T09,27
2023-10-21T10,29
2023-10-21T11,34
2023-10-21T12,28
2023-10-21T13,39
2023-10-21T14,25
2023-10-21T15,26
2023-10-21T16,30
2023-10-21T17,26
2023-10-21T18,30
2023-10-21T19,36
2023-10-21T20,36
2023-10-21T21,57
2023-10-21T22,46
2023-10-21T23,36
2023-10-22T00,46
2023-10-22T01,41
2023-10-22T02,62
2023-10-22T03,87
2023-10-22T04,70
2023-10-22T05,52
2023-10-22T06,67
2023-10-22T07,40
2023-10-22T08,21
2023-10-22T09,37
2023-10-22T10,26
2023-10-22T11,30
2023-10-22T12,39
2023-10-22T13,39
2023-10-22T14,38
2023-10-22T15,35
2023-10-22T16,45
2023-10-22T17,35
2023-10-22T18,40
2023-10-22T19,43
2023-10-22T20,41
2023-10-22T21,53
2023-10-22T22,44
2023-10-22T23,60
2023-10-23T00,48
2023-10-23T01,48
2023-10-23T02,54
2023-10-23T03,79
2023-10-23T04,0
2023-10-23T05,73
2023-10-23T06,69
2023-10-23T07,26
2023-10-23T08,26
2023-10-23T09,31
2023-10-23T10,28
2023-10-23T11,33
2023-10-23T12,35
2023-10-23T13,36
2023-10-23T14,28
2023-10-23T15,22
2023-10-23T16,21
2023-10-23T17,27
2023-10-23T18,41
