Month,Ice cream
2004-01,7
2004-02,6
2004-03,9
2004-04,8
2004-05,10
2004-06,13
2004-07,12
2004-08,13
2004-09,7
2004-10,4
2004-11,8
2004-12,7
2005-01,6
2005-02,5
2005-03,6
2005-04,6
2005-05,10
2005-06,16
2005-07,14
2005-08,11
2005-09,7
2005-10,6
2005-11,5
2005-12,8
2006-01,4
2006-02,6
2006-03,5
2006-04,8
2006-05,10
2006-06,16
2006-07,17
2006-08,12
2006-09,6
2006-10,6
2006-11,5
2006-12,9
2007-01,5
2007-02,6
2007-03,6
2007-04,9
2007-05,11
2007-06,11
2007-07,11
2007-08,11
2007-09,6
2007-10,5
2007-11,5
2007-12,7
2008-01,5
2008-02,6
2008-03,7
2008-04,8
2008-05,14
2008-06,16
2008-07,16
2008-08,14
2008-09,7
2008-10,6
2008-11,6
2008-12,10
2009-01,6
2009-02,8
2009-03,8
2009-04,11
2009-05,18
2009-06,23
2009-07,22
2009-08,19
2009-09,9
2009-10,7
2009-11,7
2009-12,12
2010-01,6
2010-02,7
2010-03,9
2010-04,12
2010-05,18
2010-06,24
2010-07,29
2010-08,18
2010-09,10
2010-10,8
2010-11,10
2010-12,13
2011-01,8
2011-02,9
2011-03,10
2011-04,25
2011-05,20
2011-06,23
2011-07,23
2011-08,20
2011-09,12
2011-10,13
2011-11,13
2011-12,19
2012-01,13
2012-02,13
2012-03,20
2012-04,19
2012-05,24
2012-06,28
2012-07,26
2012-08,27
2012-09,14
2012-10,9
2012-11,10
2012-12,17
2013-01,9
2013-02,10
2013-03,11
2013-04,13
2013-05,17
2013-06,22
2013-07,38
2013-08,26
2013-09,12
2013-10,9
2013-11,10
2013-12,16
2014-01,9
2014-02,10
2014-03,12
2014-04,14
2014-05,21
2014-06,31
2014-07,26
2014-08,23
2014-09,12
2014-10,11
2014-11,12
2014-12,20
2015-01,10
2015-02,11
2015-03,12
2015-04,18
2015-05,22
2015-06,37
2015-07,41
2015-08,27
2015-09,12
2015-10,10
2015-11,11
2015-12,21
2016-01,10
2016-02,12
2016-03,13
2016-04,16
2016-05,22
2016-06,27
2016-07,36
2016-08,32
2016-09,15
2016-10,11
2016-11,13
2016-12,45
2017-01,32
2017-02,24
2017-03,27
2017-04,39
2017-05,51
2017-06,75
2017-07,63
2017-08,54
2017-09,26
2017-10,23
2017-11,25
2017-12,46
2018-01,21
2018-02,27
2018-03,29
2018-04,45
2018-05,57
2018-06,64
2018-07,79
2018-08,68
2018-09,31
2018-10,26
2018-11,28
2018-12,48
2019-01,25
2019-02,14
2019-03,14
2019-04,38
2019-05,46
2019-06,75
2019-07,85
2019-08,68
2019-09,31
2019-10,24
2019-11,27
2019-12,54
2020-01,24
2020-02,26
2020-03,27
2020-04,51
2020-05,67
2020-06,74
2020-07,88
2020-08,82
2020-09,34
2020-10,24
2020-11,27
2020-12,54
2021-01,24
2021-02,27
2021-03,30
2021-04,46
2021-05,55
2021-06,92
2021-07,73
2021-08,73
2021-09,37
2021-10,26
2021-11,28
2021-12,49
2022-01,21
2022-02,24
2022-03,27
2022-04,38
2022-05,59
2022-06,74
2022-07,100
2022-08,79
2022-09,30
2022-10,24
2022-11,23
2022-12,44
2023-01,21
2023-02,24
2023-03,25
2023-04,36
2023-05,54
2023-06,81
2023-07,83
2023-08,73
2023-09,36
2023-10,22
