Time,Restaurant
2023-10-16T19,58
2023-10-16T20,42
2023-10-16T21,33
2023-10-16T22,32
2023-10-16T23,27
2023-10-17T00,26
2023-10-17T01,24
2023-10-17T02,20
2023-10-17T03,22
2023-10-17T04,18
2023-10-17T05,15
2023-10-17T06,18
2023-10-17T07,19
2023-10-17T08,26
2023-10-17T09,33
2023-10-17T10,46
2023-10-17T11,59
2023-10-17T12,64
2023-10-17T13,45
2023-10-17T14,34
2023-10-17T15,32
2023-10-17T16,37
2023-10-17T17,43
2023-10-17T18,57
2023-10-17T19,65
2023-10-17T20,46
2023-10-17T21,35
2023-10-17T22,33
2023-10-17T23,28
2023-10-18T00,28
2023-10-18T01,26
2023-10-18T02,22
2023-10-18T03,22
2023-10-18T04,19
2023-10-18T05,18
2023-10-18T06,18
2023-10-18T07,20
2023-10-18T08,26
2023-10-18T09,34
2023-10-18T10,44
2023-10-18T11,60
2023-10-18T12,65
2023-10-18T13,42
2023-10-18T14,33
2023-10-18T15,31
2023-10-18T16,35
2023-10-18T17,43
2023-10-18T18,59
2023-10-18T19,65
2023-10-18T20,45
2023-10-18T21,38
2023-10-18T22,34
2023-10-18T23,32
2023-10-19T00,27
2023-10-19T01,26
2023-10-19T02,25
2023-10-19T03,20
2023-10-19T04,18
2023-10-19T05,20
2023-10-19T06,19
2023-10-19T07,20
2023-10-19T08,26
2023-10-19T09,35
2023-10-19T10,46
2023-10-19T11,62
2023-10-19T12,70
2023-10-19T13,47
2023-10-19T14,36
2023-10-19T15,34
2023-10-19T16,38
2023-10-19T17,44
2023-10-19T18,63
2023-10-19T19,67
2023-10-19T20,51
2023-10-19T21,38
2023-10-19T22,36
2023-10-19T23,32
2023-10-20T00,29
2023-10-20T01,26
2023-10-20T02,22
2023-10-20T03,22
2023-10-20T04,20
2023-10-20T05,19
2023-10-20T06,19
2023-10-20T07,20
2023-10-20T08,26
2023-10-20T09,35
2023-10-20T10,47
2023-10-20T11,59
2023-10-20T12,70
2023-10-20T13,50
2023-10-20T14,38
2023-10-20T15,35
2023-10-20T16,42
2023-10-20T17,54
2023-10-20T18,79
2023-10-20T19,86
2023-10-20T20,66
2023-10-20T21,48
2023-10-20T22,40
2023-10-20T23,35
2023-10-21T00,31
2023-10-21T01,29
2023-10-21T02,26
2023-10-21T03,25
2023-10-21T04,23
2023-10-21T05,22
2023-10-21T06,22
2023-10-21T07,27
2023-10-21T08,33
2023-10-21T09,41
2023-10-21T10,55
2023-10-21T11,77
2023-10-21T12,92
2023-10-21T13,70
2023-10-21T14,54
2023-10-21T15,50
2023-10-21T16,57
2023-10-21T17,72
2023-10-21T18,93
2023-10-21T19,100
2023-10-21T20,69
2023-10-21T21,46
2023-10-21T22,38
2023-10-21T23,31
2023-10-22T00,27
2023-10-22T01,27
2023-10-22T02,25
2023-10-22T03,24
2023-10-22T04,23
2023-10-22T05,22
2023-10-22T06,22
2023-10-22T07,26
2023-10-22T08,33
2023-10-22T09,46
2023-10-22T10,55
2023-10-22T11,79
2023-10-22T12,83
2023-10-22T13,64
2023-10-22T14,47
2023-10-22T15,43
2023-10-22T16,46
2023-10-22T17,57
2023-10-22T18,70
2023-10-22T19,72
2023-10-22T20,52
2023-10-22T21,38
2023-10-22T22,33
2023-10-22T23,29
2023-10-23T00,26
2023-10-23T01,27
2023-10-23T02,22
2023-10-23T03,20
2023-10-23T04,18
2023-10-23T05,19
2023-10-23T06,20
2023-10-23T07,23
2023-10-23T08,29
2023-10-23T09,35
2023-10-23T10,45
2023-10-23T11,62
2023-10-23T12,73
2023-10-23T13,48
2023-10-23T14,38
2023-10-23T15,35
2023-10-23T16,40
2023-10-23T17,50
2023-10-23T18,62
