Month,Soup,Salad
2004-01,16,8
2004-02,13,9
2004-03,13,10
2004-04,11,11
2004-05,10,16
2004-06,10,19
2004-07,10,18
2004-08,14,15
2004-09,15,11
2004-10,22,9
2004-11,23,8
2004-12,17,10
2005-01,18,8
2005-02,15,10
2005-03,12,10
2005-04,10,13
2005-05,10,16
2005-06,10,25
2005-07,11,19
2005-08,14,15
2005-09,16,10
2005-10,24,9
2005-11,24,9
2005-12,19,11
2006-01,20,8
2006-02,16,9
2006-03,13,10
2006-04,11,14
2006-05,10,16
2006-06,10,24
2006-07,10,28
2006-08,14,15
2006-09,17,11
2006-10,24,10
2006-11,25,9
2006-12,19,12
2007-01,20,9
2007-02,16,10
2007-03,13,12
2007-04,10,18
2007-05,10,17
2007-06,9,19
2007-07,11,21
2007-08,13,18
2007-09,17,12
2007-10,21,11
2007-11,23,10
2007-12,20,12
2008-01,19,10
2008-02,16,12
2008-03,13,14
2008-04,14,15
2008-05,11,20
2008-06,11,23
2008-07,12,23
2008-08,16,19
2008-09,18,13
2008-10,28,12
2008-11,28,12
2008-12,22,14
2009-01,24,11
2009-02,20,13
2009-03,16,14
2009-04,13,18
2009-05,14,23
2009-06,11,27
2009-07,14,29
2009-08,18,25
2009-09,19,14
2009-10,33,13
2009-11,30,13
2009-12,22,15
2010-01,26,13
2010-02,18,14
2010-03,15,15
2010-04,13,22
2010-05,12,23
2010-06,12,29
2010-07,13,37
2010-08,16,24
2010-09,21,14
2010-10,33,13
2010-11,32,12
2010-12,29,14
2011-01,26,12
2011-02,19,14
2011-03,16,18
2011-04,12,26
2011-05,12,30
2011-06,12,28
2011-07,14,28
2011-08,19,29
2011-09,20,19
2011-10,33,16
2011-11,38,15
2011-12,31,17
2012-01,36,15
2012-02,28,14
2012-03,18,22
2012-04,17,26
2012-05,16,30
2012-06,12,32
2012-07,14,35
2012-08,18,39
2012-09,26,21
2012-10,37,16
2012-11,39,15
2012-12,36,18
2013-01,34,15
2013-02,31,18
2013-03,23,22
2013-04,18,26
2013-05,17,29
2013-06,14,36
2013-07,17,56
2013-08,18,42
2013-09,28,22
2013-10,39,18
2013-11,48,18
2013-12,41,22
2014-01,39,19
2014-02,32,24
2014-03,23,28
2014-04,19,33
2014-05,19,37
2014-06,16,46
2014-07,19,46
2014-08,24,35
2014-09,26,27
2014-10,48,21
2014-11,53,20
2014-12,44,23
2015-01,46,20
2015-02,39,23
2015-03,27,27
2015-04,20,38
2015-05,19,42
2015-06,18,63
2015-07,20,66
2015-08,23,44
2015-09,37,27
2015-10,58,24
2015-11,55,23
2015-12,46,27
2016-01,56,26
2016-02,45,27
2016-03,33,30
2016-04,26,35
2016-05,22,43
2016-06,20,49
2016-07,18,65
2016-08,21,55
2016-09,29,35
2016-10,63,25
2016-11,68,24
2016-12,55,26
2017-01,63,23
2017-02,41,27
2017-03,31,33
2017-04,24,40
2017-05,22,52
2017-06,19,73
2017-07,21,58
2017-08,25,47
2017-09,46,29
2017-10,64,26
2017-11,77,24
2017-12,63,28
2018-01,63,27
2018-02,53,26
2018-03,41,33
2018-04,25,47
2018-05,23,56
2018-06,18,61
2018-07,19,75
2018-08,25,61
2018-09,37,33
2018-10,70,26
2018-11,80,25
2018-12,66,29
2019-01,70,27
2019-02,52,33
2019-03,37,40
2019-04,28,44
2019-05,28,48
2019-06,20,79
2019-07,20,84
2019-08,26,58
2019-09,40,36
2019-10,73,28
2019-11,87,26
2019-12,69,29
2020-01,72,29
2020-02,51,32
2020-03,50,33
2020-04,46,68
2020-05,33,70
2020-06,24,71
2020-07,23,77
2020-08,26,71
2020-09,42,39
2020-10,82,25
2020-11,85,27
2020-12,67,28
2021-01,73,29
2021-02,51,33
2021-03,40,40
2021-04,34,50
2021-05,27,51
2021-06,17,77
2021-07,20,60
2021-08,27,58
2021-09,33,36
2021-10,67,28
2021-11,76,26
2021-12,61,27
2022-01,61,29
2022-02,43,35
2022-03,33,41
2022-04,29,49
2022-05,20,78
2022-06,19,85
2022-07,21,100
2022-08,25,72
2022-09,44,37
2022-10,61,29
2022-11,69,26
2022-12,64,27
2023-01,62,30
2023-02,50,35
2023-03,39,40
2023-04,32,56
2023-05,24,70
2023-06,18,100
2023-07,21,77
2023-08,27,69
2023-09,29,46
2023-10,49,34
