,AAAAMM,TM,RR,TN,TX
876,2023-01-01,5.506451612903225,36.9,-3.9,17.2
877,2023-02-01,5.453571428571428,3.0,-5.3,17.1
878,2023-03-01,9.735483870967743,64.4,-4.0,21.8
879,2023-04-01,11.143333333333334,52.0,-0.7,23.6
880,2023-05-01,16.348387096774193,33.2,5.0,29.0
881,2023-06-01,22.226666666666667,96.2,10.6,34.3
882,2023-07-01,23.80322580645161,31.7,12.2,37.5
883,2023-08-01,24.116129032258065,50.699999999999996,10.5,41.4
884,2023-09-01,21.459999999999997,58.6,7.7,34.6
885,2023-10-01,16.316129032258065,150.0,4.7,30.6
886,2023-11-01,8.82,81.0,-2.6,17.5
887,2023-12-01,6.312903225806451,60.1,-4.3,15.3
