Date,Food
2015-01-01,1877
2015-01-02,2272
2015-01-03,2759
2015-01-04,2842
2015-01-05,2457
2015-01-06,2418
2015-01-07,2494
2015-01-08,1869
2015-01-09,2281
2015-01-10,2780
2015-01-11,3029
2015-01-12,2592
2015-01-13,2161
2015-01-14,1932
2015-01-15,2366
2015-01-16,2208
2015-01-17,2891
2015-01-18,3041
2015-01-19,2447
2015-01-20,1907
2015-01-21,1874
2015-01-22,1452
2015-01-23,2350
2015-01-24,2724
2015-01-25,3084
2015-01-26,2093
2015-01-27,1939
2015-01-28,2026
2015-01-29,2014
2015-01-30,2247
2015-01-31,3038
2015-02-01,3516
2015-02-02,2309
2015-02-03,2346
2015-02-04,2400
2015-02-05,2074
2015-02-06,2597
2015-02-07,3281
2015-02-08,3623
2015-02-09,2759
2015-02-10,2338
2015-02-11,2399
2015-02-12,2775
2015-02-13,2702
2015-02-14,2732
2015-02-15,3185
2015-02-16,2461
2015-02-17,1976
2015-02-18,1913
2015-02-19,2032
2015-02-20,2198
2015-02-21,2774
2015-02-22,2892
2015-02-23,1976
2015-02-24,1919
2015-02-25,1896
2015-02-26,1764
2015-02-27,1890
2015-02-28,2525
2015-03-01,3163
2015-03-02,2312
2015-03-03,2342
2015-03-04,1878
2015-03-05,1849
2015-03-06,2241
2015-03-07,2740
2015-03-08,2722
2015-03-09,2310
2015-03-10,2358
2015-03-11,2138
2015-03-12,2412
2015-03-13,2699
2015-03-14,2730
2015-03-15,3204
2015-03-16,2650
2015-03-17,2483
2015-03-18,2039
2015-03-19,2015
2015-03-20,2232
2015-03-21,2449
2015-03-22,2915
2015-03-23,2240
2015-03-24,93
2015-03-25,3949
2015-03-26,1919
2015-03-27,2169
2015-03-28,2799
2015-03-29,3031
2015-03-30,2131
2015-03-31,2077
2015-04-01,2533
2015-04-02,2188
2015-04-03,2997
2015-04-04,3301
2015-04-05,3096
2015-04-06,2524
2015-04-07,2294
2015-04-08,2221
2015-04-09,2460
2015-04-10,2224
2015-04-11,3001
2015-04-12,3194
2015-04-13,2696
2015-04-14,2165
2015-04-15,2324
2015-04-16,2120
2015-04-17,1975
2015-04-18,3086
2015-04-19,3013
2015-04-20,2307
2015-04-21,2011
2015-04-22,2029
2015-04-23,2080
2015-04-24,2364
2015-04-25,2770
2015-04-26,2894
2015-04-27,2279
2015-04-28,2025
2015-04-29,1740
